studytime,score
32.6707901280885,53.05301058624602
57.29715772840402,86.14832645374464
45.344323100431275,70.43306300995638
55.32128122408294,89.98889188825946
64.22963291988108,103.27501480470956
48.84735546436518,78.72926132704507
47.53921622809783,76.4755106385611
32.521789667591655,55.89870699807391
39.39536430356549,63.11066237186914
47.4958875288946,74.2294204252477
53.77304986423292,80.92451165410982
58.13086626365315,89.18767669393914
43.332939660198846,76.5759299774703
32.30777214170668,56.272518650777734
40.08509597577977,62.92172478409766
61.83577347018648,92.91833957579375
37.468487375297045,57.430167354865745
45.82433866361891,73.46437035314798
62.59221068911576,96.9995048920211
30.871472964262182,46.169136350463766
51.019212111244286,81.12907014608795
63.254532514477596,94.56319257345389
38.06060076573377,66.27836512029819
49.197147173261065,77.42495998553014
61.81949312103559,100.55934554326065
34.66093060157375,54.92185906710222
48.3194403235818,74.63927292019179
56.26434506857122,87.81941232894434
53.41546343093698,86.47746785038765
46.371350091074326,74.90047883769996
37.169718160422825,55.72027162154548
47.176806118187464,74.68768102111413
43.033464128477064,68.32470636475985
46.70904041980559,71.89091651028185
42.80616350232076,65.6602603781258
59.327129800824125,97.17450205887403
56.902662728182825,86.29737513469048
40.98981370244317,62.425009953473115
50.04188664253839,80.28853621439728
39.66171669157433,63.98358378862194
45.84950263912401,71.9239551627029
42.35424280805381,70.03049626995207
53.00898119729154,83.92276263183255
42.96228790458123,69.41486806974254
46.0682542262001,75.87025761205007
55.176344287816455,86.2396094863648
44.45471401898421,68.07737280476123
61.724814420751855,93.14675238958357
36.315806672093856,57.0187261673663
55.93916055196425,87.04885197216805
44.78309152750991,66.92338100863641
44.92587504397298,64.48273417801217
52.20329540218435,81.39315579915247
48.301717035992084,70.94458192554397
44.52100924538051,63.49748959862477
30.049940819696538,51.376574890933554
33.22918210463632,52.03216876005846
54.828803780382444,86.49676427037218
48.3520958867819,73.83494610975842
54.36561622309391,80.18499435361194
63.44139130510241,92.46563652864731
53.90198490313961,81.66053358493247
31.859504173553514,51.64646602111469
40.8098439702329,62.25167126426937
50.74081405631806,78.05326198399831
38.229214254011254,56.14454191887209
63.77398498376444,97.33429028468719
63.07668783274779,90.02959236954557
59.694030829319104,90.89314605170692
46.53133987009408,75.58440520236022
59.45168502144391,95.05414483787835
34.58887248217699,62.4247523390896
40.80567800542424,59.68094244362351
46.204873795404595,75.34236151550714
55.96465202392133,90.57250051289532
47.003883004811385,77.23738565366881
34.79066415791078,53.45429646820326
42.02377853965254,68.27457886441948
41.354915938535505,72.40707716674471
40.51466165113139,59.480068563335855
35.79254901630256,59.776750573723966
44.52156204006382,74.22320355589613
45.68422301259532,69.51984366282832
57.121513153490596,90.01051447638767
57.8736745273892,85.27502056036283
48.28365448005641,72.75438623706789
46.12206036571469,69.7111036480996
57.23747605403638,88.80554342151714
61.05511331484572,93.15872420966932
53.622156945337565,86.41042295049982
58.01676671494623,85.93249650108842
62.868897380626485,95.55699155755333
31.422953330284003,55.35590228504488
60.64851037045291,94.87063462145638
39.679707535789696,58.91534587557126
46.65175747984855,75.64067336913995
57.88663349261658,87.36682431034723
55.10347812963305,86.49372226411754
35.15016501795925,58.26261247772313
53.056189063395095,86.54628078264332
